# T1a Universe - SP500 Tickers Jan 2020 to May 2026 - DEC-477 canonical PIT-correct universe file (Pass 53 SCRAPE-COMPLETE; renamed from historical_membership.csv per Pass 53 owner directive 2026-05-05)
# Built 2026-05-05 from Wikipedia List_of_S&P_500_companies. 124 events 2020-01-01 to 2026-04-09 + Table 0 current 503 components.
# FILENAME DATE-RANGE NOTE: "Jan 2020 to May 2026" reflects file content as of 2026-05-05. On next monthly refresh (or significant S&P event addition), rename to extend the range (e.g., "Jan 2020 to Jun 2026") to keep filename accurate.
# L88 fallback exception conditions met: (i) laptop-local, (ii) Wikipedia fallback after S&P DJI primary attempt, (iii) owner spot-checked 4 of 4 high-impact events vs S&P DJI press releases (TSLA 2020-12-21, KVUE 2023-08-25, SNDK 2025-11-28, PAYC 2026-03-23 - all confirmed), (iv) pre-Sprint-1 static CSV assembly (not runtime).
# SCHEMA: Symbol, Company, Sector (GICS post-2018 reclassification per Wikipedia Table 0; historical-only tickers have blank Sector pending supplementary lookup), added_date, removed_date.
# PIT FILTER: (added_date IS NULL OR added_date <= as_of) AND (removed_date IS NULL OR removed_date > as_of). Multi-period rows handled via standard OR semantics.
# NULL semantics: added_date NULL = in S&P prior to 2020-01-01 mapping window (Pass 53 option-beta); removed_date NULL = currently active.
# Source: en.wikipedia.org/wiki/List_of_S%26P_500_companies (one-time L88 exception; not runtime).
Symbol,Company,Sector,added_date,removed_date
A,Agilent Technologies,Health Care,,
AAL,,Industrials,,2024-09-23
AAP,,Consumer Discretionary,,2023-08-25
AAPL,Apple Inc.,Information Technology,,
ABBV,AbbVie,Health Care,,
ABMD,,,,2022-12-22
ABNB,Airbnb,Consumer Discretionary,2023-09-18,
ABT,Abbott Laboratories,Health Care,,
ACGL,Arch Capital Group,Financials,2022-11-01,
ACN,Accenture,Information Technology,,
ADBE,Adobe Inc.,Information Technology,,
ADI,Analog Devices,Information Technology,,
ADM,Archer Daniels Midland,Consumer Staples,,
ADP,Automatic Data Processing,Industrials,,
ADS,,,,2020-06-22
ADSK,Autodesk,Information Technology,,
AEE,Ameren,Utilities,,
AEP,American Electric Power,Utilities,,
AES,AES Corporation,Utilities,,
AFL,Aflac,Financials,,
AGN,,,,2020-05-12
AIG,American International Group,Financials,,
AIV,,Financials,,2020-12-21
AIZ,Assurant,Financials,,
AJG,Arthur J. Gallagher & Co.,Financials,,
AKAM,Akamai Technologies,Information Technology,,
ALB,Albemarle Corporation,Materials,,
ALGN,Align Technology,Health Care,,
ALK,,Industrials,,2023-12-18
ALL,Allstate,Financials,,
ALLE,Allegion,Industrials,,
ALXN,,,,2021-07-21
AMAT,Applied Materials,Information Technology,,
AMCR,Amcor,Materials,,
AMD,Advanced Micro Devices,Information Technology,,
AME,Ametek,Industrials,,
AMGN,Amgen,Health Care,,
AMP,Ameriprise Financial,Financials,,
AMT,American Tower,Real Estate,,
AMTM,,,2024-09-30,2024-12-23
AMZN,Amazon,Consumer Discretionary,,
ANET,Arista Networks,Information Technology,,
ANSS,,,,2025-07-18
AON,Aon plc,Financials,,
AOS,A. O. Smith,Industrials,,
APA,APA Corporation,Energy,,
APD,Air Products,Materials,,
APH,Amphenol,Information Technology,,
APO,Apollo Global Management,Financials,2024-12-23,
APP,AppLovin,Information Technology,2025-09-22,
APTV,Aptiv,Consumer Discretionary,,
ARE,Alexandria Real Estate Equities,Real Estate,,
ARES,Ares Management,Financials,2025-12-11,
ARNC,,,,2020-04-01
ATO,Atmos Energy,Utilities,,
ATVI,,,,2023-10-18
AVB,AvalonBay Communities,Real Estate,,
AVGO,Broadcom,Information Technology,,
AVY,Avery Dennison,Materials,,
AWK,American Water Works,Utilities,,
AXON,Axon Enterprise,Industrials,2023-05-04,
AXP,American Express,Financials,,
AZO,AutoZone,Consumer Discretionary,,
BA,Boeing,Industrials,,
BAC,Bank of America,Financials,,
BALL,Ball Corporation,Materials,,
BAX,Baxter International,Health Care,,
BBWI,,Consumer Discretionary,,2024-10-01
BBY,Best Buy,Consumer Discretionary,,
BDX,Becton Dickinson,Health Care,,
BEN,Franklin Resources,Financials,,
BF-B,Brown–Forman,Consumer Staples,,
BG,Bunge Global,Consumer Staples,2023-03-15,
BIIB,Biogen,Health Care,,
BIO,,,2020-06-22,2024-09-23
BK,BNY Mellon,Financials,,
BKNG,Booking Holdings,Consumer Discretionary,,
BKR,Baker Hughes,Energy,,
BLDR,Builders FirstSource,Industrials,2023-12-18,
BLK,BlackRock,Financials,,
BMY,Bristol Myers Squibb,Health Care,,
BR,Broadridge Financial Solutions,Industrials,,
BRK-B,Berkshire Hathaway,Financials,,
BRO,Brown & Brown,Financials,2021-09-20,
BSX,Boston Scientific,Health Care,,
BWA,,,,2025-03-24
BX,Blackstone Inc.,Financials,2023-09-18,
BXP,"BXP, Inc.",Real Estate,,
C,Citigroup,Financials,,
CAG,Conagra Brands,Consumer Staples,,
CAH,Cardinal Health,Health Care,,
CARR,Carrier Global,Industrials,2020-04-03,
CASY,Casey's,Consumer Staples,2026-04-09,
CAT,Caterpillar Inc.,Industrials,,
CB,Chubb Limited,Financials,,
CBOE,Cboe Global Markets,Financials,,
CBRE,CBRE Group,Real Estate,,
CCI,Crown Castle,Real Estate,,
CCL,Carnival,Consumer Discretionary,,
CDNS,Cadence Design Systems,Information Technology,,
CDW,CDW Corporation,Information Technology,,
CE,,Materials,,2025-03-24
CEG,Constellation Energy,Utilities,2022-02-02,
CERN,,,,2022-06-08
CF,CF Industries,Materials,,
CFG,Citizens Financial Group,Financials,,
CHD,Church & Dwight,Consumer Staples,,
CHRW,C.H. Robinson,Industrials,,
CHTR,Charter Communications,Communication Services,,
CI,Cigna,Health Care,,
CIEN,Ciena,Information Technology,2026-02-09,
CINF,Cincinnati Financial,Financials,,
CL,Colgate-Palmolive,Consumer Staples,,
CLX,Clorox,Consumer Staples,,
CMA,,,,2024-06-24
CMCSA,Comcast,Communication Services,,
CME,CME Group,Financials,,
CMG,Chipotle Mexican Grill,Consumer Discretionary,,
CMI,Cummins,Industrials,,
CMS,CMS Energy,Utilities,,
CNC,Centene Corporation,Health Care,,
CNP,CenterPoint Energy,Utilities,,
COF,Capital One,Financials,,
COHR,Coherent Corp.,Information Technology,2026-03-23,
COIN,Coinbase,Financials,2025-05-19,
COO,Cooper Companies (The),Health Care,,
COP,ConocoPhillips,Energy,,
COR,Cencora,Health Care,,
COST,Costco,Consumer Staples,,
COTY,,,,2020-09-21
CPAY,Corpay,Financials,,
CPB,Campbell's Company (The),Consumer Staples,,
CPRI,,,,2020-05-12
CPRT,Copart,Industrials,,
CPT,Camden Property Trust,Real Estate,2022-04-04,
CRH,CRH plc,Materials,2025-12-22,
CRL,Charles River Laboratories,Health Care,2021-05-14,
CRM,Salesforce,Information Technology,,
CRWD,CrowdStrike,Information Technology,2024-06-24,
CSCO,Cisco,Information Technology,,
CSGP,CoStar Group,Real Estate,2022-09-19,
CSX,CSX Corporation,Industrials,,
CTAS,Cintas,Industrials,,
CTLT,,,2020-09-21,2024-12-23
CTRA,Coterra,Energy,,
CTSH,Cognizant,Information Technology,,
CTVA,Corteva,Materials,,
CTXS,,,,2022-10-03
CVNA,Carvana,Consumer Discretionary,2025-12-22,
CVS,CVS Health,Health Care,,
CVX,Chevron Corporation,Energy,,
CXO,,,,2021-01-21
CZR,,Consumer Discretionary,2021-03-22,2025-09-22
D,Dominion Energy,Utilities,,
DAL,Delta Air Lines,Industrials,,
DASH,DoorDash,Consumer Discretionary,2025-03-24,
DAY,,,2021-09-20,2026-02-09
DD,DuPont,Materials,,
DDOG,Datadog,Information Technology,2025-07-09,
DE,Deere & Company,Industrials,,
DECK,Deckers Brands,Consumer Discretionary,2024-03-18,
DELL,Dell Technologies,Information Technology,2024-09-23,
DFS,,,,2025-05-19
DG,Dollar General,Consumer Staples,,
DGX,Quest Diagnostics,Health Care,,
DHI,D. R. Horton,Consumer Discretionary,,
DHR,Danaher Corporation,Health Care,,
DIS,Walt Disney Company (The),Communication Services,,
DISCA,,,,2022-04-11
DISCK,,,,2022-04-11
DISH,,,,2023-06-20
DLR,Digital Realty,Real Estate,,
DLTR,Dollar Tree,Consumer Staples,,
DOC,Healthpeak Properties,Real Estate,,
DOV,Dover Corporation,Industrials,,
DOW,Dow Inc.,Materials,,
DPZ,Domino's,Consumer Discretionary,2020-05-12,
DRE,,,,2022-10-03
DRI,Darden Restaurants,Consumer Discretionary,,
DTE,DTE Energy,Utilities,,
DUK,Duke Energy,Utilities,,
DVA,DaVita,Health Care,,
DVN,Devon Energy,Energy,,
DXC,,Information Technology,,2023-10-03
DXCM,Dexcom,Health Care,2020-05-12,
EA,Electronic Arts,Communication Services,,
EBAY,eBay Inc.,Consumer Discretionary,,
ECL,Ecolab,Materials,,
ED,Consolidated Edison,Utilities,,
EFX,Equifax,Industrials,,
EG,Everest Group,Financials,,
EIX,Edison International,Utilities,,
EL,Estée Lauder Companies (The),Consumer Staples,,
ELV,Elevance Health,Health Care,,
EME,Emcor,Industrials,2025-09-22,
EMN,,Materials,,2025-11-04
EMR,Emerson Electric,Industrials,,
ENPH,,Information Technology,2021-01-07,2025-09-22
EOG,EOG Resources,Energy,,
EPAM,EPAM Systems,Information Technology,2021-12-14,
EQIX,Equinix,Real Estate,,
EQR,Equity Residential,Real Estate,,
EQT,EQT Corporation,Energy,2022-10-03,
ERIE,Erie Indemnity,Financials,2024-09-23,
ES,Eversource Energy,Utilities,,
ESS,Essex Property Trust,Real Estate,,
ETFC,,,,2020-10-07
ETN,Eaton Corporation,Industrials,,
ETR,Entergy,Utilities,,
ETSY,,,2020-09-21,2024-09-23
EVRG,Evergy,Utilities,,
EW,Edwards Lifesciences,Health Care,,
EXC,Exelon,Utilities,,
EXE,Expand Energy,Energy,2025-03-24,
EXPD,Expeditors International,Industrials,,
EXPE,Expedia Group,Consumer Discretionary,,
EXR,Extra Space Storage,Real Estate,,
F,Ford Motor Company,Consumer Discretionary,,
FANG,Diamondback Energy,Energy,,
FAST,Fastenal,Industrials,,
FBHS,,,,2022-12-19
FCX,Freeport-McMoRan,Materials,,
FDS,FactSet,Financials,2021-12-20,
FDX,FedEx,Industrials,,
FE,FirstEnergy,Utilities,,
FFIV,"F5, Inc.",Information Technology,,
FICO,Fair Isaac,Information Technology,2023-03-20,
FIS,Fidelity National Information Services,Financials,,
FISV,Fiserv,Financials,,
FITB,Fifth Third Bancorp,Financials,,
FIX,Comfort Systems USA,Industrials,2025-12-22,
FLIR,,,,2021-05-14
FLS,,,,2021-03-22
FMC,,Materials,,2025-03-24
FOX,Fox Corporation (Class B),Communication Services,,
FOXA,Fox Corporation (Class A),Communication Services,,
FRC,,,,2023-05-04
FRT,Federal Realty Investment Trust,Real Estate,,
FSLR,First Solar,Information Technology,2022-12-19,
FTI,,Energy,,2021-02-12
FTNT,Fortinet,Information Technology,,
FTV,Fortive,Industrials,,
GD,General Dynamics,Industrials,,
GDDY,GoDaddy,Information Technology,2024-06-24,
GE,GE Aerospace,Industrials,,
GEHC,GE HealthCare,Health Care,2023-01-04,
GEN,Gen Digital,Information Technology,,
GEV,GE Vernova,Industrials,2024-04-02,
GILD,Gilead Sciences,Health Care,,
GIS,General Mills,Consumer Staples,,
GL,Globe Life,Financials,,
GLW,Corning Inc.,Information Technology,,
GM,General Motors,Consumer Discretionary,,
GNRC,Generac,Industrials,2021-03-22,
GOOG,Alphabet Inc. (Class C),Communication Services,,
GOOGL,Alphabet Inc. (Class A),Communication Services,,
GPC,Genuine Parts Company,Consumer Discretionary,,
GPN,Global Payments,Financials,,
GPS,,,,2022-02-03
GRMN,Garmin,Consumer Discretionary,,
GS,Goldman Sachs,Financials,,
GWW,W. W. Grainger,Industrials,,
HAL,Halliburton,Energy,,
HAS,Hasbro,Consumer Discretionary,,
HBAN,Huntington Bancshares,Financials,,
HBI,,,,2021-12-20
HCA,HCA Healthcare,Health Care,,
HD,Home Depot (The),Consumer Discretionary,,
HES,,,,2025-07-23
HFC,,,,2021-06-04
HIG,Hartford (The),Financials,,
HII,Huntington Ingalls Industries,Industrials,,
HLT,Hilton Worldwide,Consumer Discretionary,,
HOG,,,,2020-06-22
HOLX,,,,2026-04-09
HON,Honeywell,Industrials,,
HOOD,Robinhood Markets,Financials,2025-09-22,
HP,,Energy,,2020-05-22
HPE,Hewlett Packard Enterprise,Information Technology,,
HPQ,HP Inc.,Information Technology,,
HRB,,,,2020-09-21
HRL,Hormel Foods,Consumer Staples,,
HSIC,Henry Schein,Health Care,,
HST,Host Hotels & Resorts,Real Estate,,
HSY,Hershey Company (The),Consumer Staples,,
HUBB,Hubbell Incorporated,Industrials,2023-10-18,
HUM,Humana,Health Care,,
HWM,Howmet Aerospace,Industrials,2020-04-01,
IBKR,Interactive Brokers,Financials,2025-08-28,
IBM,IBM,Information Technology,,
ICE,Intercontinental Exchange,Financials,,
IDXX,Idexx Laboratories,Health Care,,
IEX,IDEX Corporation,Industrials,,
IFF,International Flavors & Fragrances,Materials,,
ILMN,,,,2024-06-24
INCY,Incyte,Health Care,,
INFO,,,,2022-03-02
INTC,Intel,Information Technology,,
INTU,Intuit,Information Technology,,
INVH,Invitation Homes,Real Estate,2022-09-19,
IP,International Paper,Materials,,
IPG,,,,2025-11-28
IPGP,,Information Technology,,2022-06-21
IQV,IQVIA,Health Care,,
IR,Ingersoll Rand,Industrials,2020-03-02,
IRM,Iron Mountain,Real Estate,,
ISRG,Intuitive Surgical,Health Care,,
IT,Gartner,Information Technology,,
ITW,Illinois Tool Works,Industrials,,
IVZ,Invesco,Financials,,
J,Jacobs Solutions,Industrials,,
JBHT,J.B. Hunt,Industrials,,
JBL,Jabil,Information Technology,2023-12-18,
JCI,Johnson Controls,Industrials,,
JKHY,Jack Henry & Associates,Financials,,
JNJ,Johnson & Johnson,Health Care,,
JNPR,,,,2025-07-09
JPM,JPMorgan Chase,Financials,,
JWN,,,,2020-06-22
K,,,,2025-12-11
KDP,Keurig Dr Pepper,Consumer Staples,2022-06-21,
KEY,KeyCorp,Financials,,
KEYS,Keysight Technologies,Information Technology,,
KHC,Kraft Heinz,Consumer Staples,,
KIM,Kimco Realty,Real Estate,,
KKR,KKR & Co.,Financials,2024-06-24,
KLAC,KLA Corporation,Information Technology,,
KMB,Kimberly-Clark,Consumer Staples,,
KMI,Kinder Morgan,Energy,,
KMX,,Consumer Discretionary,,2025-10-31
KO,Coca-Cola Company (The),Consumer Staples,,
KR,Kroger,Consumer Staples,,
KSS,,Consumer Discretionary,,2020-09-21
KSU,,,,2021-12-14
KVUE,Kenvue,Consumer Staples,2023-08-25,
L,Loews Corporation,Financials,,
LDOS,Leidos,Industrials,,
LEG,,Consumer Staples,,2021-12-20
LEN,Lennar,Consumer Discretionary,,
LH,Labcorp,Health Care,,
LHX,L3Harris,Industrials,,
LII,Lennox International,Industrials,2024-12-23,
LIN,Linde plc,Materials,,
LITE,Lumentum,Information Technology,2026-03-23,
LKQ,,,,2025-12-22
LLY,Lilly (Eli),Health Care,,
LMT,Lockheed Martin,Industrials,,
LNC,,Financials,,2023-09-18
LNT,Alliant Energy,Utilities,,
LOW,Lowe's,Consumer Discretionary,,
LRCX,Lam Research,Information Technology,,
LULU,Lululemon Athletica,Consumer Discretionary,2023-10-18,
LUMN,,,,2023-03-20
LUV,Southwest Airlines,Industrials,,
LVS,Las Vegas Sands,Consumer Discretionary,,
LW,,Consumer Staples,,2026-03-23
LYB,LyondellBasell,Materials,,
LYV,Live Nation Entertainment,Communication Services,,
M,,Consumer Discretionary,,2020-04-06
MA,Mastercard,Financials,,
MAA,Mid-America Apartment Communities,Real Estate,,
MAR,Marriott International,Consumer Discretionary,,
MAS,Masco,Industrials,,
MBC,,Consumer Staples,2022-12-15,2022-12-19
MCD,McDonald's,Consumer Discretionary,,
MCHP,Microchip Technology,Information Technology,,
MCK,McKesson Corporation,Health Care,,
MCO,Moody's Corporation,Financials,,
MDLZ,Mondelez International,Consumer Staples,,
MDT,Medtronic,Health Care,,
MET,MetLife,Financials,,
META,Meta Platforms,Communication Services,,
MGM,MGM Resorts,Consumer Discretionary,,
MHK,,,,2025-12-22
MKC,McCormick & Company,Consumer Staples,,
MKTX,,,,2025-09-22
MLM,Martin Marietta Materials,Materials,,
MMM,3M,Industrials,,
MNST,Monster Beverage,Consumer Staples,,
MO,Altria,Consumer Staples,,
MOH,,Health Care,2022-03-02,2026-03-23
MOS,Mosaic Company (The),Materials,,
MPC,Marathon Petroleum,Energy,,
MPWR,Monolithic Power Systems,Information Technology,2021-02-12,
MRK,Merck & Co.,Health Care,,
MRNA,Moderna,Health Care,2021-07-21,
MRO,,,,2024-11-26
MRSH,Marsh McLennan,Financials,,
MS,Morgan Stanley,Financials,,
MSCI,MSCI Inc.,Financials,,
MSFT,Microsoft,Information Technology,,
MSI,Motorola Solutions,Information Technology,,
MTB,M&T Bank,Financials,,
MTCH,,Information Technology,2021-09-20,2026-03-23
MTD,Mettler Toledo,Health Care,,
MU,Micron Technology,Information Technology,,
MXIM,,,,2021-08-30
NBL,,,,2020-10-12
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,,
NDAQ,"Nasdaq, Inc.",Financials,,
NDSN,Nordson Corporation,Industrials,2022-02-15,
NEE,NextEra Energy,Utilities,,
NEM,Newmont,Materials,,
NFLX,Netflix,Communication Services,,
NI,NiSource,Utilities,,
NKE,"Nike, Inc.",Consumer Discretionary,,
NLSN,,,,2022-10-12
NOC,Northrop Grumman,Industrials,,
NOV,,Energy,,2021-09-20
NOW,ServiceNow,Information Technology,,
NRG,NRG Energy,Utilities,,
NSC,Norfolk Southern,Industrials,,
NTAP,NetApp,Information Technology,,
NTRS,Northern Trust,Financials,,
NUE,Nucor,Materials,,
NVDA,Nvidia,Information Technology,,
NVR,"NVR, Inc.",Consumer Discretionary,,
NWL,,Materials,,2023-09-18
NWS,News Corp (Class B),Communication Services,,
